expenditure_date,committee_name,expense_category,payee_name,address,payee_type,amount,expense_purpose
2021-03-29,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,329,Newspaper
2021-04-29,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,400,Newspaper
2021-05-18,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,350,Newspaper
2021-07-01,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,484,Newspaper
2021-10-12,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,1792,Newspaper
2021-03-22,Fraser  Stanford Friends of,Media,Troop Public Relations,9103 Woodmore Center #213  Glenarden  Maryland 20706,Business/Group/Organization,625,Videos
2022-02-14,Judges - Baltimore City Sitting Judges Committee Slate,Media,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500,Consulting Fees - Media
2021-11-09,McMillan  Herb Friends Of,Media,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,2881.16,Consulting Fees - Media
2021-10-12,McMillan  Herb Friends Of,Media,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,3034.32,Consulting Fees - Media
2021-12-07,McMillan  Herb Friends Of,Media,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,2358.12,Consulting Fees - Media
2021-10-12,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,95,Graphic Design
2021-09-10,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,340,Graphic Design
2021-06-24,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,180,Graphic Design
2021-10-12,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,190,Graphic Design
2021-05-07,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,210,Graphic Design
2021-07-09,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,225,Graphic Design
2021-05-19,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,210,Graphic Design
2021-11-17,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,59.37,Online Advertising
2021-10-25,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-12-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,143.1,Online Advertising
2021-05-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-11-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,143.1,Online Advertising
2021-04-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-08-26,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,115.51,Online Advertising
2021-07-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-09-28,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-06-23,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-05-03,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-08-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-09-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Online Advertising
2021-02-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-03-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-04-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-06-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-08-16,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,1.74,Online Advertising
2021-07-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-10-04,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Online Advertising
2021-11-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Online Advertising
2021-12-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Online Advertising
2021-12-31,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Online Advertising
2021-05-27,Howard  Seth Citizens To Elect,Media,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Online Advertising
2021-05-28,Howard  Seth Citizens To Elect,Media,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Online Advertising
2021-05-28,Howard  Seth Citizens To Elect,Media,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Online Advertising
2021-06-21,Howard  Seth Citizens To Elect,Media,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Online Advertising
2021-08-31,Howard  Seth Citizens To Elect,Media,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,100,Online Advertising
2022-01-18,Albert  Brian Citizens for,Media,NationBuilder - Stripe,PO Box 811428  Los Angeles  California 90081,Business/Group/Organization,159,Media - Website Development
2022-02-17,Albert  Brian Citizens for,Media,NationBuilder - Stripe,PO Box 811428  Los Angeles  California 90081,Business/Group/Organization,159,Media - Website Development
2021-09-03,Taylor  Kym Friends for,Media,ActBlue  LLC,366 Summer Street  Somerville  Massachusetts 02144,Business/Group/Organization,91.5,Online Advertising
2021-11-08,Taylor  Kym Friends for,Media,Metropolitan Washington Council/AFL CIO,815 16th Street  N.W.  Washington  District Of Columbia 20006-4101,Business/Group/Organization,250,Book/Brochure Advertising
2021-04-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-04-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-07,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,80,Online Advertising
2021-04-08,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-06-24,Harrison  Ingrid S. Friends of,Media,Vista Print,275 Wyman Street  Waltham  Massachusetts 02451,Business/Group/Organization,283.03,Graphic Design
2021-11-03,Harrison  Ingrid S. Friends of,Media,Printing Specialist,9015 Junction Drive  Suite 5  Annapolis Junction  Maryland 20701,Business/Group/Organization,397.5,Billboards / Outdoor Advertising
2021-05-03,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2021-06-02,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2021-07-02,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2021-08-02,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2021-09-01,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2021-10-01,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2021-11-01,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2021-12-02,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2022-01-03,Jain  Ashwani Friends of,Media,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Consulting Fees - Media
2021-03-15,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-03-28,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-03-29,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-03-30,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-03-31,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-04-01,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,20,Online Advertising
2021-04-03,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-04-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-12-31,Thompson  J. (James) Howard Citizens for,Media,Campaign Partners  Inc.,640 John Carlyle Street  Suite 403  Alexandria  Virginia 22314,Business/Group/Organization,59.4,Online Advertising
2021-04-09,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-11,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-12,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-12,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-13,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-14,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-04-15,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-04-15,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-15,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-18,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-18,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-20,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-25,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-04-25,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Online Advertising
2021-04-25,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-05-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-05-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-05-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-05-10,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-05-11,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-05-14,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,750,Online Advertising
2021-05-25,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-05-28,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-05-28,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-06-14,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-06-17,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-06-24,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-06-28,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2021-07-03,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2021-07-12,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-07-12,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,100,Online Advertising
2021-07-18,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-07-22,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-07-29,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2021-08-02,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-08-06,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-08-09,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,400,Online Advertising
2021-08-12,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-08-18,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Online Advertising
2021-08-24,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Online Advertising
2021-08-31,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,400,Online Advertising
2021-09-02,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-09-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2021-09-06,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Online Advertising
2021-09-07,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-09-08,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-09-10,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-09-11,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-09-12,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-09-16,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2021-09-17,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2021-09-20,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2021-09-22,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-09-27,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-09-29,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-09-30,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-01,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,500,Online Advertising
2021-10-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-08,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-11,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-13,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-15,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-16,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-18,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-22,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-10-24,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-25,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Online Advertising
2021-10-27,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-28,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-30,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-10-30,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,25,Online Advertising
2021-11-02,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-11-06,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-07,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-08,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-12,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-13,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-14,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-16,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-17,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,100,Online Advertising
2021-11-18,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,400,Online Advertising
2021-11-21,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-23,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-11-25,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2021-11-25,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2021-12-01,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-12-02,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2021-12-04,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Online Advertising
2021-12-06,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-12-07,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-12-09,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-12-07,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Online Advertising
2021-12-14,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-12-16,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-12-17,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-12-19,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-12-21,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Online Advertising
2022-01-04,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2022-01-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,100,Online Advertising
2022-01-05,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2022-01-09,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Online Advertising
2022-01-10,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Online Advertising
2022-01-11,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Online Advertising
2022-01-11,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Online Advertising
2022-01-12,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Online Advertising
2021-01-30,Jain  Ashwani Friends of,Media,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Online Advertising
2021-02-10,Jain  Ashwani Friends of,Media,JACOB BURMAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1000,Consulting Fees - General
